__________________________________________________________________________________

Uk³ad M/M/1/RNT
Œrednia liczba zg³oszeñ na jednostkê czasu : 	   1.000
Œrednia wydajnoœæ stanowiska obs³ugi : 		   2.000
Pojedynczy kwant czasu : 			1000.000


    t		n	k	s
 466.449	0	0	0
 467.139	1	0	1
 467.143	2	1	1
 467.174	1	0	1
 467.354	0	0	0
 468.345	1	0	1
 469.016	0	0	0
 469.134	1	0	1
 469.574	0	0	0
 470.119	1	0	1
 470.197	0	0	0
 470.417	1	0	1
 470.592	0	0	0
 471.260	1	0	1
 471.498	0	0	0
 473.572	1	0	1
 474.767	2	1	1
 474.790	3	2	1
 474.815	4	3	1
 475.722	3	2	1
 475.969	2	1	1
 476.215	1	0	1
 476.267	0	0	0
 476.538	1	0	1
 476.601	0	0	0
 476.634	1	0	1
 476.879	2	1	1
 477.079	1	0	1
 477.137	0	0	0
 481.029	1	0	1
 481.551	0	0	0
 481.946	1	0	1
 481.988	2	1	1
 482.224	1	0	1
 482.570	2	1	1
 482.719	1	0	1
 482.926	2	1	1
 483.626	1	0	1
 483.925	0	0	0
 484.220	1	0	1
 484.394	0	0	0
 484.980	1	0	1
 485.109	0	0	0
 487.545	1	0	1
 487.662	0	0	0
 488.121	1	0	1
 488.902	0	0	0
 490.670	1	0	1
 490.761	0	0	0
 491.060	1	0	1
 491.123	0	0	0
 491.232	1	0	1
 491.547	0	0	0
 491.660	1	0	1
 491.971	0	0	0
 493.752	1	0	1
 493.929	2	1	1
 494.187	3	2	1
 494.243	2	1	1
 494.770	1	0	1
 494.922	2	1	1
 495.454	1	0	1
 495.999	2	1	1
 496.206	3	2	1
 496.423	2	1	1
 496.662	1	0	1
 497.595	0	0	0
 497.850	1	0	1
 498.018	0	0	0
 498.111	1	0	1
 498.422	0	0	0
 499.844	1	0	1
 499.963	0	0	0
 500.558	1	0	1
 501.605	0	0	0
 502.583	1	0	1
 503.037	0	0	0
 505.964	1	0	1
 506.183	2	1	1
 506.883	1	0	1
 507.822	0	0	0
 512.559	1	0	1
 512.559	0	0	0
 512.620	1	0	1
 512.677	2	1	1
 513.019	1	0	1
 513.020	0	0	0
 513.125	1	0	1
 513.389	2	1	1
 513.887	1	0	1
 514.911	2	1	1
 515.120	1	0	1
 515.387	0	0	0
 515.537	1	0	1
 515.678	0	0	0
 517.242	1	0	1
 517.253	0	0	0
 518.313	1	0	1
 518.716	0	0	0
 521.200	1	0	1
 522.072	0	0	0
 522.802	1	0	1
 523.078	0	0	0
 524.651	1	0	1
 525.401	0	0	0
 527.226	1	0	1
 527.427	0	0	0
 527.763	1	0	1
 528.357	0	0	0
 528.410	1	0	1
 528.434	2	1	1
 528.927	1	0	1
 528.961	2	1	1
 528.973	1	0	1
 529.130	2	1	1
 529.243	3	2	1
 529.789	2	1	1
 529.817	1	0	1
 529.917	2	1	1
 530.087	1	0	1
 530.338	0	0	0
 532.663	1	0	1
 532.704	2	1	1
 532.744	3	2	1
 533.469	2	1	1
 534.390	1	0	1
 534.525	0	0	0
 534.549	1	0	1
 534.564	0	0	0
 535.636	1	0	1
 536.093	2	1	1
 536.215	3	2	1
 537.148	2	1	1
 537.453	3	2	1
 537.626	2	1	1
 537.655	3	2	1
 537.717	4	3	1
 538.071	3	2	1
 538.603	4	3	1
 538.619	3	2	1
 538.731	4	3	1
 539.198	3	2	1
 539.324	2	1	1
 539.597	1	0	1
 540.177	0	0	0
 540.304	1	0	1
 540.834	0	0	0
 541.093	1	0	1
 541.336	0	0	0
 541.389	1	0	1
 541.399	0	0	0
 541.903	1	0	1
 542.256	0	0	0
 545.061	1	0	1
 545.463	2	1	1
 545.501	1	0	1
 545.638	0	0	0
 546.893	1	0	1
 547.110	0	0	0
 549.113	1	0	1
 549.964	0	0	0
 552.358	1	0	1
 552.662	2	1	1
 552.746	3	2	1
 552.808	2	1	1
 553.066	3	2	1
 553.619	2	1	1
 554.426	3	2	1
 554.495	2	1	1
 555.058	3	2	1
 555.265	2	1	1
 555.301	3	2	1
 556.293	4	3	1
 556.434	3	2	1
 556.676	2	1	1
 557.026	1	0	1
 557.118	0	0	0
 558.903	1	0	1
 558.906	2	1	1
 558.921	1	0	1
 558.966	2	1	1
 559.134	3	2	1
 559.161	4	3	1
 559.335	5	4	1
 559.919	6	5	1
 560.242	5	4	1
 560.806	6	5	1
 560.896	5	4	1
 561.143	4	3	1
 561.406	3	2	1
 561.586	2	1	1
 561.717	1	0	1
 562.095	0	0	0
 562.747	1	0	1
 562.998	0	0	0
 563.413	1	0	1
 563.773	0	0	0
 563.919	1	0	1
 564.283	2	1	1
 564.392	1	0	1
 564.399	2	1	1
 564.556	1	0	1
 565.052	2	1	1
 565.360	1	0	1
 565.902	2	1	1
 566.023	3	2	1
 566.173	4	3	1
 566.359	3	2	1
 566.560	2	1	1
 567.368	1	0	1
 568.158	0	0	0
 569.706	1	0	1
 569.734	0	0	0
 571.667	1	0	1
 571.708	0	0	0
 572.977	1	0	1
 573.383	0	0	0
 575.517	1	0	1
 575.672	0	0	0
 575.739	1	0	1
 575.859	0	0	0
 575.957	1	0	1
 576.432	0	0	0
 578.946	1	0	1
 578.972	0	0	0
 579.169	1	0	1
 579.666	0	0	0
 580.014	1	0	1
 580.844	2	1	1
 581.008	1	0	1
 581.022	0	0	0
 581.525	1	0	1
 581.897	0	0	0
 583.307	1	0	1
 583.333	0	0	0
 583.415	1	0	1
 583.600	2	1	1
 584.324	1	0	1
 584.415	2	1	1
 584.626	1	0	1
 584.781	2	1	1
 585.061	1	0	1
 585.133	0	0	0
 585.614	1	0	1
 585.678	0	0	0
 587.261	1	0	1
 587.293	2	1	1
 587.377	1	0	1
 587.916	2	1	1
 588.071	1	0	1
 588.079	0	0	0
 588.268	1	0	1
 588.768	0	0	0
 588.828	1	0	1
 589.051	0	0	0
 589.376	1	0	1
 589.870	2	1	1
 591.128	3	2	1
 591.765	2	1	1
 593.117	1	0	1
 593.196	2	1	1
 593.805	3	2	1
 594.512	4	3	1
 594.599	3	2	1
 595.249	4	3	1
 595.337	3	2	1
 595.408	2	1	1
 595.517	1	0	1
 596.902	2	1	1
 597.116	1	0	1
 597.362	2	1	1
 597.496	1	0	1
 597.634	0	0	0
 599.254	1	0	1
 599.735	0	0	0
 600.108	1	0	1
 600.421	0	0	0
 601.974	1	0	1
 602.959	0	0	0
 604.110	1	0	1
 604.857	2	1	1
 605.489	3	2	1
 605.612	2	1	1
 605.845	1	0	1
 606.465	0	0	0
 607.360	1	0	1
 607.642	0	0	0
 609.424	1	0	1
 609.887	2	1	1
 610.033	1	0	1
 610.210	0	0	0
 611.478	1	0	1
 612.020	2	1	1
 612.433	1	0	1
 612.512	0	0	0
 613.317	1	0	1
 614.777	0	0	0
 614.827	1	0	1
